2026년 연간 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연번,광역자치단체명,기초자치단체명,축제명,축제 유형,개최 장소,,,,,개최기간,,,,,,,,개최 주기,"최초
개최연도",예산(백만원),,,,"국비지원
부처명",방문객수(前년),,,,,축제 주최 전담조직,,,담당자,,,,,비고
,,,,,장소명,축제 유형,,,,시작일,,,종료일,,,"총
일수",비고,,,합계,국비,지방비,"기타
(민간 등)",,전체,내국인(명),외국인(명),계측 방법,비고,전담조직명,조직형태,설립근거,소속,부서명,직급/직책,성명,연락처,비고
,,,,,장소명,축제 유형,시도,시군구,읍면동,년,월,일,년,월,일,,,,,,,,,,,,,,,,,,,,,,,
39,01. 서울,송파구,2026 송파구 벚꽃축제,02. 자연생태,석촌호수,03. 수변형,01. 서울,송파구,-,2026,4,1,2026,4,5,5,,01. 매년,2007,264,0,264,0,해당없음,"8,620,000","8,620,000",0,99. 무응답,기타,송파구청 문화예술과,01. 정부/지자체,서울특별시 송파구 문화예술진흥에 관한 조례,송파구청,문화예술과,주무관,황현주,02-2147-2815,
40,01. 서울,송파구,제26회 한성백제문화제,01. 문화예술,올림픽공원,02. 녹지형,01. 서울,송파구,-,2026,10,16,2026,10,18,3,,01. 매년,1994,800,0,800,0,해당없음,"513,547","480,000","33,547",99. 무응답,기타,송파구청 문화예술과,01. 정부/지자체,서울특별시 송파구 한성백제문화제 운영 조례,송파구청,문화예술과,주무관,황현주,02-2147-2815,
41,01. 서울,노원구,불암산 철쭉제,02. 자연생태,불암산 힐링타운,02. 녹지형,01. 서울,노원구,중계동,2026,4,16,2026,4,26,11,,01. 매년,2021,174,0,104,70,해당없음,"327,582","327,582",모름,02. 추정,통신 데이터,노원구 여가도시과,01. 정부/지자체,-,노원구청,여가도시과,주무관,윤성환,02-2116-0546,
42,01. 서울,노원구,노원구 어린이날 축제,03. 주민화합,등나무·중계근린공원,02. 녹지형,01. 서울,노원구,중계동,2026,5,2,2026,5,3,2,,01. 매년,2010,미확정,0,미확정,미확정,해당없음,"31,795","31,795",모름,02. 추정,통신 데이터,노원구 보육가족과,01. 정부/지자체,-,노원구청,보육가족과,주무관,하정희,02-2116-3730,
43,01. 서울,노원구,경춘선 공릉숲길 커피축제 ,01. 문화예술,공릉역 ~ 동부아파트 삼거리 + 경춘선 숲길,02. 녹지형,01. 서울,노원구,공릉동,2026,6,13,2026,6,14,2,,01. 매년,2023,494,0,494,0,해당없음,"89,453","89,350",103,02. 추정,통신 데이터,노원구 지역경제과,01. 정부/지자체,-,노원구청,지역경제과,주무관,이미영,02-2116-3487,
44,01. 서울,노원구,노원달빛산책,01. 문화예술,당현천 일원(중계역 ~ 상계역 2km),03. 수변형,01. 서울,노원구,중계동,2026,6,5,2026,6,28,24,,01. 매년,2014,미확정,0,미확정,미확정,해당없음,"1,320,557","1,319,927",630,02. 추정,통신 데이터,노원문화재단,02. 재단(관광/문화/예술),서울특별시 노원구 문화재단 설립 및 운영에 관한 조례,노원구청,문화도시과,주무관,설진욱,02-2116-7142,
45,01. 서울,노원구,노원수제맥주축제,03. 주민화합,화랑대 철도공원 일원,02. 녹지형,01. 서울,노원구,공릉동,2026,9,11,2026,9,12,2,,01. 매년,2023,미확정,0,미확정,미확정,해당없음,"67,007","66,965",42,02. 추정,통신 데이터,노원문화재단,02. 재단(관광/문화/예술),서울특별시 노원구 문화재단 설립 및 운영에 관한 조례,노원구청,문화도시과,주무관,설진욱,02-2116-7142,
46,01. 서울,노원구,댄싱노원 거리페스티벌,01. 문화예술,노원역 일원(롯데백화점 ~ 순복음교회 555m),05. 기타,01. 서울,노원구,상계동,2026,10,17,2026,10,18,2,,01. 매년,2013,미확정,0,미확정,미확정,해당없음,"209,376","209,164",212,02. 추정,통신 데이터,노원문화재단,02. 재단(관광/문화/예술),서울특별시 노원구 문화재단 설립 및 운영에 관한 조례,노원구청,문화도시과,주무관,최석우,02-2116-7143,
47,01. 서울,강북구,4·19혁명국민문화제 2026,04. 전통역사,국립4·19민주묘지 및 강북구 일대,03. 수변형,01. 서울,강북구,수유동,2026,4,10,2026,4,19,10,,01. 매년,2013,558,232,326,0,국가보훈부,"60,000","60,000",모름,99. 무응답,기타,4·19혁명국민문화제위원회,04. 지자체 위원회,,강북구청,문화관광과,주무관,유경선,02-901-6206,
48,01. 서울,강북구,우이천변 페스타2026,01. 문화예술,우이천 일대,03. 수변형,01. 서울,강북구,수유3동,2026,10,16,2026,10,18,3,,01. 매년,2023,294,0,294,0,해당없음,"26,306","26,226",80,01. 계측,유인,강북구청 문화관광과,01. 정부/지자체,,강북구청,문화관광과,주무관,김가영,02-901-6216,
